key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1000362082,"Mortality Risk Related to Heatwaves in Dezful City, Southwest of Iran",2023,,,Environmental health insights,1178-6302,17,,1.17863E+16,"Aghababaeian, H. and Ostadtaghizadeh, A. and Ardalan, A. and Asgary, A. and Akbary, M. and Yekaninejad, M. S. and Sharafkhani, R. and Stephens, C.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=pmnm&AN=36762075https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:36762075&id=doi:10.1177%2F11786302231151538&issn=1178-6302&isbn=&volume=17&issue=&spage=11786302231151538&pages=11786302231151538&date=2023&title=Environmental+health+insights&atitle=Mortality+Risk+Related+to+Heatwaves+in+Dezful+City%2C+Southwest+of+Iran.&aulast=Aghababaeian     https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9903032/pdf/10.1177_11786302231151538.pdf,,,,"Background: We aimed to evaluate the impact of heatwaves on daily deaths due to non-accidental, cardiovascular and respiratory causes in the city of Dezful in Iran from 2013 to 2019. Method: We collected daily ambient temperature and mortality and defined 2 types of heatwaves by combining daily temperature 90th in each month of the study period or since 30 years with duration 2 and 3 days. We used a distributed lag non-linear model to study the association between each type of heatwave definition, and deaths due to non-accidental, cardiovascular and respiratory causes with lags up to 13 days. Results: There was no discernible correlation in this area, despite the fact that heatwaves raised the risk of death from cardiovascular causes and lowered the risk from respiratory causes. On the other hand, the risk of total non-accidental mortality on days with the heatwaves is significantly higher than normal days. In main effects, the heatwaves have a significant relationship with the risk of total non-accidental mortality (in the first heatwave definition, Cumulative Excess Risk (CER) in lag<sub>0-2</sub> was 10.4 and in second heatwave definition, CER values in lag<sub>0, 0-2, and 0-6</sub> were 12.4, 29.2, and 38.8 respectively). Also, in added effects, heatwaves have a significant relationship with the risk of total non-accidental mortality (in the first heatwave definition, CER in lag<sub>0 and 0-2</sub> were 1.79 and 4.11 and in the second heatwave definition, CER values in lag<sub>0, 0-2, and 0-6</sub> were 7.76, 18.35 and 24.87 respectively). In addition, heatwaves appeared to contribute to a cumulative excess risk of non-accidental death among the male group as well as the older adults. Conclusion: However, the results showed that heatwaves could have detrimental effects on health, even in populations accustomed to the extreme heat. Therefore, early warning systems which monitor heatwaves should provide the necessary warnings to the population, especially the most vulnerable groups.",RAYYAN-LABELS: Maxime,10.1177/11786302231151538,Iran,,
rayyan-1000362170,The Effects of Heatwaves on Human Morbidity in Primary Care Settings: A Case-Crossover Study,2022,1,,International Journal of Environmental Research and Public Health,1660-4601 (Electronic) 1661-7827 (Print) 1660-4601 (Linking),19,2,,"Alsaiqali, M. and De Troeyer, K. and Casas, L. and Hamdi, R. and Faes, C. and Van Pottelbergh, G.",https://www.ncbi.nlm.nih.gov/pubmed/35055653     https://mdpi-res.com/d_attachment/ijerph/ijerph-19-00832/article_deploy/ijerph-19-00832-v2.pdf?version=1642056299,English,,,"Purpose: This study assesses the potential acute effects of heatwaves on human morbidities in primary care settings. Methods: We performed a time-stratified case-crossover study to assess the acute effects of heatwaves on selected morbidities in primary care settings in Flanders, Belgium, between 2000 and 2015. We used conditional logistic regression models. We assessed the effect of heatwaves on the day of the event (lag 0) and X days earlier (lags 1 to X). The associations are presented as Incidence Density Ratios (IDR). Results: We included 22,344 events. Heatwaves are associated with increased heat-related morbidities such as heat stroke IDR 3.93 [2.94-5.26] at lag 0, dehydration IDR 3.93 [2.94-5.26] at lag 1, and orthostatic hypotension IDR 2.06 [1.37-3.10] at lag 1. For cardiovascular morbidities studied, there was only an increased risk of stroke at lag 3 IDR 1.45 [1.04-2.03]. There is no significant association with myocardial ischemia/infarction or arrhythmia. Heatwaves are associated with decreased respiratory infection risk. The IDR for upper respiratory infections is 0.82 [0.78-0.87] lag 1 and lower respiratory infections (LRI) is 0.82 [0.74-0.91] at lag 1. There was no significant effect modification by age or premorbid chronic disease (diabetes, hypertesnsion). Conclusion: Heatwaves are associated with increased heat-related morbidities and decreased respiratory infection risk. The study of heatwaves' effects in primary care settings helps evaluate the impact of heatwaves on the general population. Primary care settings might be not suitable to study acute life-threatening morbidities.",RAYYAN-LABELS: Maxime,10.3390/ijerph19020832,heatwaves;primary care;case-crossover;HOSPITAL ADMISSIONS;HEAT WAVES;AMBIENT-TEMPERATURE;EXTREME;TEMPERATURE;MORTALITY;IMPACT;BRISBANE;HEALTH;TRANSMISSION;HUMIDITY;Humanities;Humanism;Humans;Cross-Over Studies,,
rayyan-1000362098,"Heat waves and mortality in New York, NY",2011,,,Epidemiology,1044-3983,22,1,S20,"Anderson, B.",https://www.embase.com/search/results?subaction=viewrecord&id=L71290205&from=export http://dx.doi.org/10.1097/01.ede.0000391719.31370.34,English,,"Yale Univ, New Haven, CT USA","Background/Aims: Devastating health effects from recent heat waves (eg, Chicago 1995, Europe 2003), and projected increase in frequency, duration, and severity of heat waves from climate change, highlight the importance of understanding the health effects of periods of extreme temperature. We analyzed all-cause mortality risk for heat waves in New York, NY (1987-2005) and investigated how health effects relate to heat waves. Methods: Heat waves were defined as periods of >2 days with temperature >95th percentile for 1 May-30 September. Using a generalized additive model, we estimated the relative risk during each heat wave compared to non-heat wave days, controlling for other factors (eg, day of the week, time trends). We combined individual heat wave effect estimates using a Bayesian hierarchical model to generate an average effect for New York, NY. Each heat wave was characterized by its intensity, duration, and timing in the summer. Using a Bayesian hierarchical model, we estimated the effects of each heat wave characteristic on heat wave mortality effects. Results: During the study period, New York City had on average 1.7 heat waves/yr. Mortality increased 6.5% (95% interval: 2.0, 11.2%) during heat waves compared to non-heat wave periods. Relative risk increased 2.8% (1.4, 4.2%) for each 1 of (0.56°C) increase in heat wave intensity and 4.2% (1.1, 7.4%) for each extra day a heat wave lasted. On average, the first heat wave of the year increased mortality 11.7% (7.9, 15.7%), whereas later heat waves increased mortality 1.9% (-2.6, 6.6%). Conclusion: We found increases in mortality during heat waves, with greater impacts from more intense, longer, or earlier heat waves. These findings have implications both for community planners and for researchers estimating potential health effects from climate change.",Suppl. S     695vn     Times Cited:1     Cited References Count:0 | RAYYAN-LABELS: Maxime,10.1097/01.ede.0000391719.31370.34,mortality;United States;society;epidemiology;heat;health;model;climate change;risk factor;temperature;scientist;community;summer;human;Europe;Hot Temperature,,
rayyan-1000361978,Heat waves in the United States: mortality risk during heat waves and effect modification by heat wave characteristics in 43 U.S. communities,2011,2,,Environmental Health Perspectives,1552-9924,119,2,210-218,"Anderson, G. B. and Bell, M. L.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med8&AN=21084239https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:21084239&id=doi:10.1289%2Fehp.1002313&issn=0091-6765&isbn=&volume=119&issue=2&spage=210&pages=210-8&date=2011&title=Environmental+Health+Perspectives&atitle=Heat+waves+in+the+United+States%3A+mortality+risk+during+heat+waves+and+effect+modification+by+heat+wave+characteristics+in+43+U.S.+communities.&aulast=Anderson     https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040608/pdf/ehp-119-210.pdf,,,,"BACKGROUND: Devastating health effects from recent heat waves, and projected increases in frequency, duration, and severity of heat waves from climate change, highlight the importance of understanding health consequences of heat waves. OBJECTIVES: We analyzed mortality risk for heat waves in 43 U.S. cities (1987-2005) and investigated how effects relate to heat waves' intensity, duration, or timing in season. METHODS: Heat waves were defined as >= 2 days with temperature >= 95th percentile for the community for 1 May through 30 September. Heat waves were characterized by their intensity, duration, and timing in season. Within each community, we estimated mortality risk during each heat wave compared with non-heat wave days, controlling for potential confounders. We combined individual heat wave effect estimates using Bayesian hierarchical modeling to generate overall effects at the community, regional, and national levels. We estimated how heat wave mortality effects were modified by heat wave characteristics (intensity, duration, timing in season). RESULTS: Nationally, mortality increased 3.74% [95% posterior interval (PI), 2.29-5.22%] during heat waves compared with non-heat wave days. Heat wave mortality risk increased 2.49% for every 1degreeF increase in heat wave intensity and 0.38% for every 1-day increase in heat wave duration. Mortality increased 5.04% (95% PI, 3.06-7.06%) during the first heat wave of the summer versus 2.65% (95% PI, 1.14-4.18%) during later heat waves, compared with non-heat wave days. Heat wave mortality impacts and effect modification by heat wave characteristics were more pronounced in the Northeast and Midwest compared with the South. CONCLUSIONS: We found higher mortality risk from heat waves that were more intense or longer, or those occurring earlier in summer. These findings have implications for decision makers and researchers estimating health effects from climate change.",RAYYAN-LABELS: Maxime,10.1289/ehp.1002313,Climate Change;*Hot Temperature/ae [Adverse Effects];*Mortality;United States;Hot Temperature,,
rayyan-1010571749,Heat-related emergency hospitalizations for respiratory diseases in the Medicare population,2013,5,15,American Journal of Respiratory & Critical Care Medicine,1535-4970,187,10,1098-1103,"Anderson, G. B. and Dominici, F. and Wang, Y. and McCormack, M. C. and Bell, M. L. and Peng, R. D.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med10&AN=23491405https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:23491405&id=doi:10.1164%2Frccm.201211-1969OC&issn=1073-449X&isbn=&volume=187&issue=10&spage=1098&pages=1098-103&date=2013&title=American+Journal+of+Respiratory+%26+Critical+Care+Medicine&atitle=Heat-related+emergency+hospitalizations+for+respiratory+diseases+in+the+Medicare+population.&aulast=Anderson,,,"Department of Biostatistics, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD 21205, USA.","RATIONALE: The heat-related risk of hospitalization for respiratory diseases among the elderly has not been quantified in the United States on a national scale. With climate change predictions of more frequent and more intense heat waves, it is of paramount importance to quantify the health risks related to heat, especially for the most vulnerable. OBJECTIVES: To estimate the risk of hospitalization for respiratory diseases associated with outdoor heat in the U.S. elderly. METHODS: An observational study of approximately 12.5 million Medicare beneficiaries in 213 United States counties, January 1, 1999 to December 31, 2008. We estimate a national average relative risk of hospitalization for each 10degreeF (5.6degreeC) increase in daily outdoor temperature using Bayesian hierarchical models. MEASUREMENTS AND MAIN RESULTS: We obtained daily county-level rates of Medicare emergency respiratory hospitalizations (International Classification of Diseases, Ninth Revision, 464-466, 480-487, 490-492) in 213 U.S. counties from 1999 through 2008. Overall, each 10degreeF increase in daily temperature was associated with a 4.3% increase in same-day emergency hospitalizations for respiratory diseases (95% posterior interval, 3.8, 4.8%). Counties' relative risks were significantly higher in counties with cooler average summer temperatures. CONCLUSIONS: We found strong evidence of an association between outdoor heat and respiratory hospitalizations in the largest population of elderly studied to date. Given projections of increasing temperatures from climate change and the increasing global prevalence of chronic pulmonary disease, the relationship between heat and respiratory morbidity is a growing concern.","Anderson, G Brooke     Dominici, Francesca     Wang, Yun     McCormack, Meredith C     Bell, Michelle L     Peng, Roger D     eng     P01ES018176/ES/NIEHS NIH HHS/     R21 ES022585/ES/NIEHS NIH HHS/     R21 ES021427/ES/NIEHS NIH HHS/     K23 ES016819/ES/NIEHS NIH HHS/     R01ES012054/ES/NIEHS NIH HHS/     R21 ES020152/ES/NIEHS NIH HHS/     R01 ES019560/ES/NIEHS NIH HHS/     R21ES021427/ES/NIEHS NIH HHS/     R01ES015028/ES/NIEHS NIH HHS/     R01 ES012054/ES/NIEHS NIH HHS/     R21ES020152/ES/NIEHS NIH HHS/     K23ES016819/ES/NIEHS NIH HHS/     R01ES019560/ES/NIEHS NIH HHS/     R01 ES015028/ES/NIEHS NIH HHS/     P01 ES018176/ES/NIEHS NIH HHS/     Research Support, N.I.H., Extramural     Research Support, Non-U.S. Gov't     Research Support, U.S. Gov't, Non-P.H.S.     2013/03/16     Am J Respir Crit Care Med. 2013 May 15;187(10):1098-103. doi: 10.1164/rccm.201211-1969OC. | RAYYAN-LABELS: new",10.1164/rccm.201211-1969OC,"Age Distribution;Aged;Aged, 80 and over;Bayes Theorem;*Emergency Medical Services/mt [Methods];Emergency Medical Services/sn [Statistics & Numerical Data];Female;*Hospitalization/sn [Statistics & Numerical Data];*Hot Temperature/ae [Adverse Effects];Humans;Male;*Medicare;*Respiration Disorders/ep [Epidemiology];Risk;United States/ep [Epidemiology];Hot Temperature;Medicare;Emergencies",,
rayyan-1000362149,Years of life lost and mortality due to heat and cold in the three largest English cities,2020,3,11,Environment International,1873-6750,144,,105966,"Arbuthnott, K. and Hajat, S. and Heaviside, C. and Vardoulakis, S.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med18&AN=32771827https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:32771827&id=doi:10.1016%2Fj.envint.2020.105966&issn=0160-4120&isbn=&volume=144&issue=&spage=105966&pages=105966&date=2020&title=Environment+International&atitle=Years+of+life+lost+and+mortality+due+to+heat+and+cold+in+the+three+largest+English+cities.&aulast=Arbuthnott     https://www.sciencedirect.com/science/article/pii/S0160412020319218?via%3Dihub,,,"Department of Public Health, Environments and Society, London School of Hygiene & Tropical Medicine, London WC1H 9SH, UK; Chemicals and Environmental Effects Department, Centre for Radiation, Chemical and Environmental Hazards, Public Health England, Didcot OX11 0RQ, UK. Electronic address: Katherine.arbuthnott@lshtm.ac.uk.     Department of Public Health, Environments and Society, London School of Hygiene & Tropical Medicine, London WC1H 9SH, UK.     Institute for Environmental Design and Engineering, University College London, Central House, 14 Woburn Place, London WC1H ONN, UK.     National Centre for Epidemiology and Population Health, Research School of Population Health, Australian National University, Canberra, ACT 2601 Australia.","There is a well-established relationship between temperature and mortality, with older individuals being most at risk in high-income settings. This raises the question of the degree to which lives are being shortened by exposure to heat or cold. Years of life lost (YLL) take into account population life expectancy and age at which mortality occurs. However, YLL are rarely used as an outcome-metric in studies of temperature-related mortality. This represents an important gap in knowledge; to better comprehend potential impacts of temperature in the context of climate change and an ageing population, it is important to understand the relationship between temperature and YLL, and also whether the risks of temperature related mortality and YLL have changed over recent years. Gridded temperature data derived from observations, and mortality data were provided by the UK Met Office and the Office for National Statistics (ONS), respectively. We derived YLL for each death using sex-specific yearly life expectancy from ONS English-national lifetables. We undertook an ecological time-series regression analysis, using a distributed-lag double-threshold model, to estimate the relationship between daily mean temperature and daily YLL and mortality between 1996 and 2013 in Greater London, the West Midlands including Birmingham, and Greater Manchester. Temperature-thresholds, as determined by model best fit, were set at the 91st (for heat-effects) and 35th (for cold-effects) percentiles of the mean temperature distribution. Secondly, we analysed whether there had been any changes in heat and cold related risk of YLL and mortality over time. Heat-effects (lag 0-2 days) were greatest in London, where for each 1 degreeC above the heat-threshold the risk of mortality increased by 3.9% (CI 3.5%, 4.3%) and YLL increased by 3.0% (2.5%, 3.5%). Between 1996 and 2013, the proportion of total deaths and YLL attributable to heat in London were 0.50% and 0.40% respectively. Cold-effects (lag 0-27 days) were greatest in the West Midlands, where for each 1 degreeC below the cold-threshold, risk of mortality increased by 3.1% (2.4%, 3.7%) and YLL also increased by 3.1% (2.2%, 3.9%). The proportion of deaths and YLL attributable to cold in the West Midlands were 3.3% and 3.2% respectively. We found no evidence of decreasing susceptibility to heat and cold over time. The addition of life expectancy information into calculations of temperature-related risk and mortality burdens for English cities is novel. We demonstrate that although older individuals are at greatest risk of temperature-related mortality, heat and cold still make a significant contribution to the YLL due to premature death.","Arbuthnott, Katherine     Hajat, Shakoor     Heaviside, Clare     Vardoulakis, Sotiris     eng     Research Support, Non-U.S. Gov't     Netherlands     2020/08/11     Environ Int. 2020 Nov;144:105966. doi: 10.1016/j.envint.2020.105966. Epub 2020 Aug 6. | RAYYAN-LABELS: Maxime",10.1016/j.envint.2020.105966,China;Cities;Cold Temperature;Female;*Hot Temperature;Humans;London;Male;Mortality;*Nonlinear Dynamics;Hot Temperature,,
rayyan-1000362143,The health effects of hotter summers and heat waves in the population of the United Kingdom: a review of the evidence,2017,3,12,Environmental Health: A Global Access Science Source,1476-069X,16,,119,"Arbuthnott, K. G. and Hajat, S.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med14&AN=29219088https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:29219088&id=doi:10.1186%2Fs12940-017-0322-5&issn=1476-069X&isbn=&volume=16&issue=1&spage=119&pages=119&date=2017&title=Environmental+Health%3A+A+Global+Access+Science+Source&atitle=The+health+effects+of+hotter+summers+and+heat+waves+in+the+population+of+the+United+Kingdom%3A+a+review+of+the+evidence.&aulast=Arbuthnott     https://ehjournal.biomedcentral.com/counter/pdf/10.1186/s12940-017-0322-5.pdf,,,,"It is widely acknowledged that the climate is warming globally and within the UK. In this paper, studies which assess the direct impact of current increased temperatures and heat-waves on health and those which project future health impacts of heat under different climate change scenarios in the UK are reviewed. This review finds that all UK studies demonstrate an increase in heat-related mortality occurring at temperatures above threshold values, with respiratory deaths being more sensitive to heat than deaths from cardiovascular disease (although the burden from cardiovascular deaths is greater in absolute terms). The relationship between heat and other health outcomes such as hospital admissions, myocardial infarctions and birth outcomes is less consistent. We highlight the main populations who are vulnerable to heat. Within the UK, these are older populations, those with certain co-morbidities and those living in Greater London, the South East and Eastern regions. In all assessments of heat-related impacts using different climate change scenarios, deaths are expected to increase due to hotter temperatures, with some studies demonstrating that an increase in the elderly population will also amplify burdens. However, key gaps in knowledge are found in relation to how urbanisation and population adaptation to heat will affect health impacts, and in relation to current and future strategies for effective, sustainable and equitable adaptation to heat. These and other key gaps in knowledge, both in terms of research needs and knowledge required to make sound public- health policy, are discussed.",RAYYAN-LABELS: Maxime,10.1186/s12940-017-0322-5,*Climate Change;*Hot Temperature/ae [Adverse Effects];Humans;Mortality;*Public Health;Seasons;United Kingdom/ep [Epidemiology];Hot Temperature;Great Britain,,
rayyan-1010571838,Climate Change and Health: Consequences of High Temperatures among Vulnerable Groups in Finland,2022,10,9,International Journal of Health Services,1541-4469,,,2.07314E+14,"Astone, R. and Vaalavuo, M.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=medp&AN=36214192https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:36214192&id=doi:10.1177%2F00207314221131208&issn=0020-7314&isbn=&volume=&issue=&spage=207314221131208&pages=207314221131208&date=2022&title=International+Journal+of+Health+Services&atitle=Climate+Change+and+Health%3A+Consequences+of+High+Temperatures+among+Vulnerable+Groups+in+Finland.&aulast=Astone     https://journals.sagepub.com/doi/10.1177/00207314221131208,,,"3837Finnish Institute for Health and Welfare, Helsinki, Finland.","In this article, we examine the effects of high temperatures on hospital visits and mortality in Finland. This provides new information of the topic in a context of predominantly cool temperatures. Unique, individual-level data are used to examine the relationship at the municipality-month level over a span of 20 years. Linear regression methods alongside high-dimensional fixed effects are used to minimize confounding variation. Analysis is conducted with special emphasis on the elderly population, as well as on specific elderly risk groups identified in previous literature. We show that for an additional day per month above 25degreeC, monthly all-cause mortality increases by 1.5 percent (95% CI: 0.4%-2.6%) and acute hospital visits increase by 1.1 percent (95% CI: 0.7%-1.6%). We also find some evidence that these effects are elevated in selected population subgroups, the low-income elderly, and people with dementia. Hospital visits also increase among younger age groups, illustrating the importance of using multiple health indicators. Such detailed evidence is important for identifying vulnerable groups as extreme heat waves are expected to become more frequent and intense in northern countries.","Astone, Roberto     Vaalavuo, Maria     eng     2022/10/11     Int J Health Serv. 2022 Oct 9:207314221131208. doi: 10.1177/00207314221131208. | RAYYAN-LABELS: new",10.1177/00207314221131208,Finland,,
rayyan-1000362056,Extreme heat and risk of stillbirth,2016,,,Reproductive Sciences,1933-7191,23,1,185A,"Auger, N. and Healy-Profitos, J. and Kosatsky, T.",https://www.embase.com/search/results?subaction=viewrecord&id=L72226407&from=export http://dx.doi.org/10.1177/1933719116641257     https://journals.sagepub.com/doi/10.1177/1933719116641257     https://journals.sagepub.com/doi/pdf/10.1177/1933719116641257?download=true,English,,"Inst Natl Sante Publ Quebec, Montreal, PQ, Canada     Univ Montreal, Hosp Res Ctr, Montreal, PQ, Canada     British Columbia Ctr Dis Control, Vancouver, BC, Canada","INTRODUCTION: Risks factors for stillbirth are poorly understood, including the possible impact of high outdoor temperature. Elevated temperatures may stress pregnant women, particularly at term, and be a risk factor for stillbirth. We assessed the relationship between increased temperature and risk of preterm and term stillbirth, including cause of death, in a temperate Canadian province during warm months. METHODS: We performed a case-crossover analysis of 5,047 stillbirths in the province of Quebec, Canada, between the months of April and September from 1981-2011. We obtained maximum daily temperatures from Environment Canada. We estimated the association (odds ratio; 95% confidence interval, CI) between maximum daily temperature and stillbirth adjusted for relative humidity, comparing temperature on the day of death with nearby days. We modeled temperature continuously using splines, with 20°C as the reference. The main outcome measure was stillbirth according to week of gestation (preterm, term), and cause of death (undetermined, maternal complications, placenta/cord/membranes, birth asphyxia, congenital anomaly, other). RESULTS: Elevated outdoor temperatures were positively associated with stillbirth at term, but not preterm. Maximum daily temperatures of 30°C the day before death were associated with 1.22 times greater odds of term stillbirth relative to 20°C (95% CI 1.02-1.46), and associations increased progressively with higher temperatures. Outdoor temperature was associated with stillbirth due to maternal complications and undetermined causes, but not other causes. Compared with 20°C, maximum temperatures of 30°C were associated with 1.72 times the odds of stillbirth due to maternal complications (95% CI 1.06-2.80) and 1.28 time the odds of stillbirth due to undetermined causes (95% CI 1.02-1.59). For both maternal complications and undetermined causes, the associations strengthened progressively with higher temperatures. CONCLUSIONS: Elevated outdoor temperature maybe a novel risk factor for stillbirth, especially at term, and for stillbirths related to maternal complications or with undetermined cause. As global temperatures rise, further investigation is warranted to study how heat stress affects the health of pregnant women in temperate climates.",Suppl. 1     Dh6cs     T-274     Times Cited:0     Cited References Count:0 | RAYYAN-LABELS: Maxime,10.1177/1933719116641257,risk;stillbirth;society;gynecological examination;heat;temperature;Canada;pregnant woman;female;death;human;risk factor;cause of death;environment;health;heat stress;congenital malformation;Canadian;perinatal asphyxia;pregnancy;humidity;confidence interval;climate;Hot Temperature;Extreme Heat,,
rayyan-1000362062,Extreme heat and risk of early delivery among preterm and term pregnancies,2014,5,,Epidemiology,1531-5487,25,3,344-350,"Auger, N. and Naimi, A. I. and Smargiassi, A. and Lo, E. and Kosatsky, T.",https://galter.northwestern.edu/exit?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med11&AN=24595396https://galter.northwestern.edu/exit?url=https://search.library.northwestern.edu/openurl/01NWU_INST/01NWU_INST:HSLV?sid=OVID:medline&id=pmid:24595396&id=doi:10.1097%2FEDE.0000000000000074&issn=1044-3983&isbn=&volume=25&issue=3&spage=344&pages=344-50&date=2014&title=Epidemiology&atitle=Extreme+heat+and+risk+of+early+delivery+among+preterm+and+term+pregnancies.&aulast=Auger,,,"From the aInstitut national de sante publique du Quebec, Montreal, Quebec, Canada; bResearch Centre of the University of Montreal Hospital Centre, Montreal, Quebec, Canada; cDepartment of Epidemiology, Biostatistics and Occupational Health, McGill University, Montreal, Quebec, Canada; dDepartment of Environmental and Occupational Health, University of Montreal, Quebec, Canada; and eBritish Columbia Centre for Disease Control, Vancouver, British Columbia, Canada.","BACKGROUND: The relationship between ambient temperature and risk of delivery is poorly understood. We examined the association between heat and risk of delivery among preterm and term pregnancies with the use of a time-to-event design to minimize bias from seasonal variation in conception rates. METHODS: We used data on 206,929 term and 12,390 preterm singleton live births for Montreal, Canada, from June through September, 1981-2010. The exposure variables were (1) maximum daily temperatures in the week preceding birth and (2) number of consecutive days with temperatures of 32degreeC or above during the preceding week. We estimated hazards of delivery among preterm (<37 gestational weeks), early-term (37-38 weeks), and full-term (>=39 weeks) pregnancies for both exposures in Cox regression models, adjusting for maternal characteristics. Sensitivity analyses were carried out adjusting for markers of air pollution. RESULTS: Maximum temperatures reached at least 32degreeC during the preceding week for 19,829 births (9.0%). Relative to a maximum of 20degreeC, the hazard of delivery within term was 4% higher for maximum temperatures of 32degreeC or higher, but no association was found for preterm delivery. Associations were stronger with early-term than with full-term delivery. Extreme heat episodes with 4 to 7 days of maximum temperature of at least 32degreeC were associated with a 27% greater hazard of delivery among early-term pregnancies relative to other days. CONCLUSION: High ambient temperature and extreme heat episodes may trigger earlier delivery among term births.","Auger, Nathalie     Naimi, Ashley I     Smargiassi, Audrey     Lo, Ernest     Kosatsky, Tom     eng     Comparative Study     Research Support, Non-U.S. Gov't     2014/03/07     Epidemiology. 2014 May;25(3):344-50. doi: 10.1097/EDE.0000000000000074. | RAYYAN-LABELS: Maxime",10.1097/EDE.0000000000000074,"Adult;British Columbia;Confidence Intervals;Databases, Factual;*Extreme Heat/ae [Adverse Effects];Female;Gestational Age;Humans;Infant, Newborn;Infant, Premature;Male;Pregnancy;*Premature Birth/ep [Epidemiology];Proportional Hazards Models;Regression Analysis;Retrospective Studies;Risk Assessment;*Seasons;*Term Birth;Young Adult;Extreme Heat;Hot Temperature",,
